XRF_TrueSurface,age_BP_1950,RABD_660670,RABD_660670norm,RABD_671,RABD_715,RABD_845,RABD_620,RMean,TChl_ug_gsed,TChl_ug_gTOC
100.8,702.74318,1.111926333,6.802315889,1.031244889,0.997178144,0.996494678,1.008519878,0.148581433,39.67575672,680.1830368
101.3,708.41893,1.114110899,7.002395281,1.03058382,0.998523011,0.996008944,1.008427326,0.144053169,40.43246397,682.6579316
101.8,714.09468,1.113926742,7.109487978,1.03075427,0.99818091,0.996764449,1.009126966,0.141800292,40.3686741,671.412459
102.3,719.77043,1.109878652,6.99693382,1.028923708,0.999139775,0.996652831,1.007964045,0.143732348,38.9664644,638.5641965
102.8,725.44618,1.114046966,7.210829775,1.02960618,0.998357573,0.996330483,1.009622247,0.140117674,40.4103185,652.6319627
103.3,731.12193,1.113235506,7.181490787,1.030251573,0.998340854,0.996157528,1.007980831,0.140790112,40.12923827,638.8378482
103.8,736.79768,1.113717528,7.052572472,1.029982135,0.998622191,0.996145022,1.008428539,0.143627157,40.29620506,632.4644117
104.3,742.47343,1.115301011,7.295805056,1.030912472,0.998546449,0.996160247,1.00815364,0.13850073,40.84470459,632.1731093
104.8,748.14918,1.106614222,7.567136778,1.028443,0.999144489,0.996682656,1.009440378,0.132675711,37.83570527,577.5826289
105.3,753.82493,1.120466404,7.627801685,1.031362472,0.999079506,0.996419191,1.009097416,0.132586258,42.63393475,642.0386535
105.8,759.50068,1.121932135,7.713589438,1.031709775,0.999002258,0.996112427,1.009071,0.131598528,43.14164612,641.0253357
106.3,765.17643,1.12526618,8.167940562,1.033100225,0.999079146,0.996379618,1.00990618,0.124244461,44.29651923,649.5281274
106.8,770.85218,1.119916966,7.895462697,1.031838652,0.998673213,0.996264742,1.009220494,0.128705652,42.44361596,614.2791224
107.3,776.52793,1.121662584,8.176384157,1.032070225,0.998629753,0.996431382,1.009502865,0.124969764,43.04827705,615.0456774
107.8,782.20368,1.122733708,7.990333596,1.031439438,0.998801326,0.995544685,1.009370966,0.127516045,43.41930139,612.497022
108.3,787.87943,1.13191,8.291833933,1.031597416,0.999315416,0.995976551,1.010192034,0.123377753,46.59785872,649.1218165
108.8,793.55518,1.119381818,8.371338182,1.031237955,1.000264318,0.995729,1.011061818,0.12146075,42.25824708,581.4048275
109.3,799.23093,1.116978315,8.745413933,1.028879326,0.999381281,0.996215034,1.009346584,0.117020202,41.42570233,563.0022062
109.8,804.90668,1.120001011,8.947154831,1.030244494,0.999900831,0.996199539,1.011905034,0.114064865,42.47272812,587.5673851
110.3,815.34454,1.107516517,8.086449663,1.026149551,0.999869978,0.996367393,1.009797888,0.125852483,38.14824928,537.3641586
110.8,828.95714,1.113367176,8.540954941,1.027918471,1.000452176,0.996007012,1.009783976,0.119001094,40.17484747,576.4202925
111.3,842.56974,1.114164933,8.670436267,1.029776267,1.00001592,0.996183813,1.00994948,0.117277253,40.45118086,591.366831
#NV,#NV,1.115307209,12.06857698,1.033174651,0.995960512,0.996514395,1.007126349,0.081492295,40.84685153,#NV
111.8,856.18234,1.104396517,9.516592584,1.032022697,0.997928697,0.996244371,1.006289685,0.103053001,37.06751877,552.3514803
112.3,869.79494,1.108006444,9.708485889,1.03326,0.997801767,0.996175911,1.0077898,0.10072709,38.31795431,582.2133279
112.8,883.40754,1.104427303,9.213407978,1.031672921,0.998287371,0.99595118,1.006669494,0.106079557,37.07818285,574.6773535
113.3,897.02014,1.099469101,9.085382472,1.030186292,0.998133539,0.996571011,1.004880236,0.107538315,35.36072118,559.2775278
113.8,910.63274,1.091735618,8.799618989,1.027830787,0.998541337,0.996142663,1.005196079,0.110603225,32.68193554,527.7116368
114.3,924.24534,1.089497303,8.799752247,1.02723191,0.998324169,0.995833944,1.005525551,0.110734539,31.90661026,526.1892094
114.8,937.85794,1.09154191,8.757943371,1.02820573,0.998499,0.996093989,1.00549864,0.111502034,32.61483747,549.6000537
115.3,951.47054,1.093136742,8.538444494,1.029073258,0.997946303,0.995945674,1.004586742,0.114732539,33.16726792,571.3709589
115.8,965.08314,1.094012697,8.991965843,1.02967618,0.997423483,0.995856876,1.006021528,0.109138191,33.47068823,589.7473258
116.3,978.69574,1.095218333,8.756497111,1.030079556,0.997647533,0.995932278,1.005597733,0.111970844,33.88830629,611.0405029
116.8,992.30834,1.09802618,8.813096629,1.031738876,0.996805191,0.996079022,1.005233764,0.111470157,34.86091056,643.5973571
117.3,1005.92094,1.094430674,8.425501461,1.031875169,0.99703291,0.996313404,1.004637202,0.116755944,33.61547062,635.7965262
117.8,1019.53354,1.095511461,8.689998427,1.031607865,0.996990607,0.996404449,1.00450636,0.113239382,33.98984208,659.0097899
118.3,1033.14614,1.094272921,8.588116854,1.03111191,0.996898326,0.996320056,1.004697753,0.114426382,33.56082694,667.4407312
118.8,1046.75874,1.103931461,9.276123708,1.034292697,0.997614843,0.996621011,1.006253921,0.106592862,36.9064289,753.3681392
119.3,1060.37134,1.098043483,8.669220787,1.031822247,0.996774337,0.995930899,1.006437494,0.113400382,34.86690424,731.0499302
